CMDLINE D:\Users\chen_\Anaconda3\python.exe mip_scenario_noFinance3.py
MEM 11376.113281 1599793581.9339
MEM 11376.113281 1599793582.0347
MEM 11376.113281 1599793582.1354
MEM 11376.113281 1599793582.2361
MEM 11376.113281 1599793582.3369
MEM 11376.113281 1599793582.4376
MEM 11376.113281 1599793582.5383
MEM 11376.113281 1599793582.6390
MEM 11376.113281 1599793582.7397
MEM 11376.113281 1599793582.8405
MEM 11376.113281 1599793582.9412
MEM 11376.113281 1599793583.0419
MEM 11376.113281 1599793583.1427
MEM 11376.113281 1599793583.2434
MEM 11376.113281 1599793583.3441
MEM 11376.113281 1599793583.4449
MEM 11376.113281 1599793583.5456
MEM 11376.113281 1599793583.6463
MEM 11376.113281 1599793583.7470
MEM 11376.113281 1599793583.8478
MEM 11376.113281 1599793583.9485
MEM 11376.113281 1599793584.0492
MEM 11376.113281 1599793584.1500
MEM 11376.113281 1599793584.2507
MEM 11376.113281 1599793584.3515
MEM 11376.113281 1599793584.4522
MEM 11376.113281 1599793584.5529
MEM 11376.113281 1599793584.6536
MEM 11376.113281 1599793584.7544
MEM 11376.113281 1599793584.8551
MEM 11376.113281 1599793584.9558
MEM 11376.113281 1599793585.0565
MEM 11376.113281 1599793585.1573
MEM 11376.113281 1599793585.2580
MEM 11376.113281 1599793585.3587
MEM 11376.113281 1599793585.4595
MEM 11376.113281 1599793585.5602
MEM 11376.113281 1599793585.6609
MEM 11376.113281 1599793585.7617
MEM 11376.113281 1599793585.8624
MEM 11376.113281 1599793585.9631
MEM 11376.113281 1599793586.0639
MEM 11376.113281 1599793586.1646
MEM 11376.113281 1599793586.2653
MEM 11376.113281 1599793586.3660
MEM 11376.113281 1599793586.4668
MEM 11376.113281 1599793586.5675
MEM 11376.113281 1599793586.6682
MEM 11376.113281 1599793586.7690
MEM 11376.113281 1599793586.8697
MEM 11376.113281 1599793586.9705
MEM 11376.113281 1599793587.0712
MEM 11376.113281 1599793587.1719
MEM 11376.113281 1599793587.2726
MEM 11376.113281 1599793587.3734
MEM 11376.113281 1599793587.4741
MEM 11376.113281 1599793587.5748
MEM 11376.113281 1599793587.6756
MEM 11376.113281 1599793587.7763
MEM 11376.113281 1599793587.8770
MEM 11376.113281 1599793587.9777
MEM 11376.113281 1599793588.0785
MEM 11376.113281 1599793588.1792
MEM 11376.113281 1599793588.2800
MEM 11376.113281 1599793588.3807
MEM 11376.113281 1599793588.4814
MEM 11376.113281 1599793588.5821
MEM 11376.113281 1599793588.6828
MEM 11376.113281 1599793588.7836
MEM 11376.113281 1599793588.8843
MEM 11376.113281 1599793588.9850
MEM 11376.113281 1599793589.0858
MEM 11376.113281 1599793589.1865
MEM 11376.113281 1599793589.2872
MEM 11376.113281 1599793589.3880
MEM 11376.113281 1599793589.4887
MEM 11376.113281 1599793589.5894
MEM 11376.113281 1599793589.6901
MEM 11376.113281 1599793589.7909
MEM 11376.113281 1599793589.8916
MEM 11376.113281 1599793589.9923
MEM 11376.113281 1599793590.0931
MEM 11376.113281 1599793590.1938
MEM 11376.113281 1599793590.2945
MEM 11376.113281 1599793590.3953
MEM 11376.113281 1599793590.4960
MEM 11376.113281 1599793590.5967
MEM 11376.113281 1599793590.6975
MEM 11376.113281 1599793590.7982
MEM 11376.113281 1599793590.8989
MEM 11376.113281 1599793590.9996
MEM 11376.113281 1599793591.1004
MEM 11376.113281 1599793591.2011
MEM 11376.113281 1599793591.3019
MEM 11376.113281 1599793591.4026
MEM 11376.113281 1599793591.5033
MEM 11376.113281 1599793591.6041
MEM 11376.113281 1599793591.7048
MEM 11376.113281 1599793591.8055
MEM 11376.113281 1599793591.9062
MEM 11376.113281 1599793592.0070
MEM 11376.113281 1599793592.1077
MEM 11376.113281 1599793592.2084
MEM 11376.113281 1599793592.3092
MEM 11376.113281 1599793592.4099
MEM 11376.113281 1599793592.5106
MEM 11376.113281 1599793592.6114
MEM 11376.113281 1599793592.7121
MEM 11376.113281 1599793592.8128
MEM 11376.113281 1599793592.9136
MEM 11376.113281 1599793593.0143
MEM 11376.113281 1599793593.1150
MEM 11376.113281 1599793593.2157
MEM 11376.113281 1599793593.3165
MEM 11376.113281 1599793593.4172
MEM 11376.113281 1599793593.5179
MEM 11376.113281 1599793593.6187
MEM 11376.113281 1599793593.7194
MEM 11376.113281 1599793593.8201
MEM 11376.113281 1599793593.9209
MEM 11376.113281 1599793594.0216
MEM 11376.113281 1599793594.1223
MEM 11376.113281 1599793594.2231
MEM 11376.113281 1599793594.3238
MEM 11376.113281 1599793594.4245
MEM 11376.113281 1599793594.5252
MEM 11376.113281 1599793594.6260
MEM 11376.113281 1599793594.7267
MEM 11376.113281 1599793594.8274
MEM 11376.066406 1599793594.9281
MEM 11376.066406 1599793595.0289
MEM 11376.066406 1599793595.1296
MEM 11376.066406 1599793595.2303
MEM 11376.066406 1599793595.3311
MEM 11376.066406 1599793595.4318
MEM 11376.066406 1599793595.5325
MEM 11376.066406 1599793595.6332
MEM 11376.066406 1599793595.7340
MEM 11376.066406 1599793595.8347
MEM 11376.066406 1599793595.9354
MEM 11376.066406 1599793596.0362
MEM 11376.066406 1599793596.1369
MEM 11376.066406 1599793596.2376
MEM 11376.066406 1599793596.3384
MEM 11376.066406 1599793596.4391
MEM 11376.066406 1599793596.5398
MEM 11376.066406 1599793596.6406
MEM 11376.066406 1599793596.7413
MEM 11376.066406 1599793596.8420
MEM 11376.066406 1599793596.9427
MEM 11376.066406 1599793597.0435
MEM 11376.066406 1599793597.1442
MEM 11376.066406 1599793597.2450
MEM 11376.066406 1599793597.3457
MEM 11376.066406 1599793597.4464
MEM 11376.066406 1599793597.5472
MEM 11376.066406 1599793597.6479
MEM 11376.066406 1599793597.7486
MEM 11376.066406 1599793597.8493
MEM 11376.066406 1599793597.9500
MEM 11376.066406 1599793598.0508
MEM 11376.066406 1599793598.1515
MEM 11376.066406 1599793598.2522
MEM 11376.066406 1599793598.3530
MEM 11376.066406 1599793598.4537
MEM 11376.066406 1599793598.5544
MEM 11376.066406 1599793598.6552
MEM 11376.066406 1599793598.7559
MEM 11376.066406 1599793598.8566
MEM 11376.066406 1599793598.9574
MEM 11376.066406 1599793599.0581
MEM 11376.066406 1599793599.1588
MEM 11376.066406 1599793599.2596
MEM 11376.066406 1599793599.3603
MEM 11376.066406 1599793599.4610
MEM 11376.066406 1599793599.5617
MEM 11376.066406 1599793599.6625
MEM 11376.066406 1599793599.7632
MEM 11376.066406 1599793599.8639
MEM 11376.066406 1599793599.9647
MEM 11376.066406 1599793600.0654
MEM 11376.066406 1599793600.1661
MEM 11376.066406 1599793600.2669
MEM 11376.066406 1599793600.3676
MEM 11376.066406 1599793600.4683
MEM 11376.066406 1599793600.5690
MEM 11376.066406 1599793600.6698
MEM 11376.066406 1599793600.7705
MEM 11376.066406 1599793600.8712
MEM 11376.066406 1599793600.9720
MEM 11376.066406 1599793601.0727
MEM 11376.066406 1599793601.1734
MEM 11376.066406 1599793601.2742
MEM 11376.066406 1599793601.3749
MEM 11376.066406 1599793601.4756
MEM 11376.066406 1599793601.5763
MEM 11376.066406 1599793601.6771
MEM 11376.066406 1599793601.7778
MEM 11376.066406 1599793601.8786
MEM 11376.066406 1599793601.9793
MEM 11376.066406 1599793602.0800
MEM 11376.066406 1599793602.1808
MEM 11376.066406 1599793602.2815
MEM 11376.066406 1599793602.3822
MEM 11376.066406 1599793602.4829
MEM 11376.066406 1599793602.5836
MEM 11376.066406 1599793602.6844
MEM 11376.066406 1599793602.7851
MEM 11376.066406 1599793602.8858
MEM 11376.066406 1599793602.9866
MEM 11376.066406 1599793603.0873
MEM 11376.066406 1599793603.1880
MEM 11376.066406 1599793603.2888
MEM 11376.066406 1599793603.3895
MEM 11376.066406 1599793603.4902
MEM 11376.066406 1599793603.5910
MEM 11376.066406 1599793603.6917
MEM 11376.066406 1599793603.7924
MEM 11376.066406 1599793603.8931
MEM 11376.066406 1599793603.9939
MEM 11376.066406 1599793604.0946
MEM 11376.066406 1599793604.1953
MEM 11376.066406 1599793604.2961
MEM 11376.066406 1599793604.3968
MEM 11376.066406 1599793604.4976
MEM 11376.066406 1599793604.5983
MEM 11376.066406 1599793604.6990
MEM 11376.066406 1599793604.7998
MEM 11376.066406 1599793604.9005
MEM 11376.066406 1599793605.0012
MEM 11376.066406 1599793605.1019
MEM 11376.066406 1599793605.2026
MEM 11376.066406 1599793605.3034
MEM 11376.066406 1599793605.4041
MEM 11376.066406 1599793605.5049
MEM 11376.066406 1599793605.6056
MEM 11376.066406 1599793605.7063
MEM 11376.066406 1599793605.8070
MEM 11376.066406 1599793605.9078
MEM 11376.066406 1599793606.0085
MEM 11376.066406 1599793606.1092
MEM 11376.066406 1599793606.2099
MEM 11376.066406 1599793606.3107
MEM 11376.066406 1599793606.4114
MEM 11376.066406 1599793606.5121
MEM 11376.066406 1599793606.6129
MEM 11376.066406 1599793606.7136
MEM 11376.066406 1599793606.8143
MEM 11376.066406 1599793606.9151
MEM 11376.066406 1599793607.0158
MEM 11376.066406 1599793607.1165
MEM 11376.066406 1599793607.2173
MEM 11376.066406 1599793607.3180
MEM 11376.066406 1599793607.4187
MEM 11376.066406 1599793607.5195
MEM 11376.066406 1599793607.6202
MEM 11376.066406 1599793607.7209
MEM 11376.066406 1599793607.8217
MEM 11376.066406 1599793607.9224
MEM 11376.066406 1599793608.0231
MEM 11376.066406 1599793608.1238
MEM 11376.066406 1599793608.2246
MEM 11376.066406 1599793608.3253
MEM 11376.066406 1599793608.4260
MEM 11376.066406 1599793608.5267
MEM 11376.066406 1599793608.6275
MEM 11376.066406 1599793608.7282
MEM 11376.066406 1599793608.8289
MEM 11376.066406 1599793608.9297
MEM 11376.066406 1599793609.0304
MEM 11376.066406 1599793609.1312
MEM 11376.066406 1599793609.2319
MEM 11376.066406 1599793609.3326
MEM 11376.066406 1599793609.4333
MEM 11376.066406 1599793609.5341
MEM 11376.066406 1599793609.6348
MEM 11376.066406 1599793609.7355
MEM 11376.066406 1599793609.8363
MEM 11376.066406 1599793609.9370
MEM 11376.066406 1599793610.0377
MEM 11376.066406 1599793610.1384
MEM 11376.066406 1599793610.2392
MEM 11376.066406 1599793610.3399
MEM 11376.066406 1599793610.4406
MEM 11376.066406 1599793610.5414
MEM 11376.066406 1599793610.6421
MEM 11376.066406 1599793610.7428
MEM 11376.066406 1599793610.8436
MEM 11376.066406 1599793610.9443
MEM 11376.066406 1599793611.0450
MEM 11376.066406 1599793611.1458
MEM 11376.066406 1599793611.2465
MEM 11376.066406 1599793611.3472
MEM 11376.066406 1599793611.4479
MEM 11376.066406 1599793611.5487
MEM 11376.066406 1599793611.6494
MEM 11376.066406 1599793611.7501
MEM 11376.066406 1599793611.8509
MEM 11376.066406 1599793611.9516
MEM 11376.066406 1599793612.0523
MEM 11376.066406 1599793612.1531
MEM 11376.066406 1599793612.2538
MEM 11376.066406 1599793612.3545
MEM 11376.066406 1599793612.4553
MEM 11376.066406 1599793612.5560
MEM 11376.066406 1599793612.6567
MEM 11376.066406 1599793612.7574
MEM 11376.066406 1599793612.8582
MEM 11376.066406 1599793612.9589
MEM 11376.066406 1599793613.0596
MEM 11376.066406 1599793613.1604
MEM 11376.066406 1599793613.2611
MEM 11376.066406 1599793613.3618
MEM 11376.066406 1599793613.4626
