CMDLINE D:\Users\chen_\Anaconda3\python.exe mip_scenario_noFinance2.py
MEM 0.417969 1599744610.1458
MEM 20.226562 1599744610.2465
MEM 31.593750 1599744610.3473
MEM 39.875000 1599744610.4480
