CMDLINE D:\Users\chen_\Anaconda3\python.exe mip_scenario_noFinance2.py
MEM 0.421875 1599744133.6497
MEM 20.300781 1599744133.7504
MEM 31.425781 1599744133.8512
MEM 39.531250 1599744133.9519
