run,Final Value,Q1_0,Q2_0,Q3_0
0,43422.64933780204,17.691939711045194,18.69331580380691,14.914861509155031
1,43422.649337802,17.691939711046295,18.69331580380691,14.914861509155031
2,43422.74633540509,1.5102141989728808,18.69331580380691,14.914861509155031
3,43422.64933780195,17.691939711045663,18.69331580380691,14.914861509155031
4,43422.64933780191,17.691939711047013,18.69331580380691,14.914861509155031
5,43422.64933780187,17.691939711046746,18.69331580380691,14.914861509155031
6,43422.64933780204,17.691939711045208,18.69331580380691,14.914861509155031
7,43422.649337801995,17.691939711046558,18.69331580380691,14.914861509155031
8,43422.64933780196,17.691939711046288,18.69331580380691,14.914861509155031
9,43458.135539638104,1.5102141989713864,18.69331580380691,14.914861509155031
10,43458.13553963808,1.5102141989726712,18.69331580380691,14.914861509155031
11,43458.0385420349,17.69193971104629,18.69331580380691,14.914861509155031
12,43458.03854203489,17.69193971104565,18.69331580380691,14.914861509155031
13,43458.03854203485,17.691939711047013,18.69331580380691,14.914861509155031
14,43458.13553963793,1.5102141989733875,18.69331580380691,14.914861509155031
15,43458.038542034985,17.691939711045194,18.69331580380691,14.914861509155031
16,43458.135539638075,1.5102141989729327,18.69331580380691,14.914861509155031
17,43458.13553963803,1.5102141989728741,18.69331580380691,14.914861509155031
18,43488.519520541304,5.1186394637492185,18.69331580380691,14.914861509155031
19,43488.51952054127,5.118639463749975,18.69331580380691,14.914861509155031
20,43488.51952054121,5.118639463749552,18.69331580380691,14.914861509155031
21,43488.51952054121,5.118639463749657,18.69331580380691,14.914861509155031
22,43488.519520541166,5.118639463750692,18.69331580380691,14.914861509155031
23,43488.51952054111,5.118639463750067,18.69331580380691,14.914861509155031
24,43488.5195205413,5.118639463749209,18.69331580380691,14.914861509155031
25,43488.51952054125,5.1186394637502355,18.69331580380691,14.914861509155031
26,43488.51952054121,5.118639463749552,18.69331580380691,14.914861509155031
27,43510.41373854602,10.35186199938828,18.69331580380691,14.914861509155031
28,43510.41373854599,10.351861999388271,18.69331580380691,14.914861509155031
29,43510.41373854593,10.35186199938828,18.69331580380691,14.914861509155031
30,43510.41373854547,10.351861999387955,18.69331580380691,14.914861509155031
31,43510.41373854589,10.351861999387943,18.69331580380691,14.914861509155031
32,43510.41373854538,10.351861999387943,18.69331580380691,14.914861509155031
33,43510.41373854602,10.35186199938828,18.69331580380691,14.914861509155031
34,43510.41373854597,10.35186199938828,18.69331580380691,14.914861509155031
