run,Final Value,Q1_0,Q2_0,Q3_0
2,40024.206905403335,1.2992781453898974e-14,34.427451208566424,22.828033570215553
0,40024.20690540368,0.0,34.427451208566424,22.82803357022175
1,40024.20690540389,0.0,34.427451208566424,22.389321695047844
4,40024.234902075,0.0,34.427451208566424,22.389321695046146
7,40024.234902075004,0.0,34.427451208566424,22.28932169504634
5,40024.377476331865,0.0,34.427451208566424,22.38932169505009
8,40024.377476331865,0.0,34.427451208566424,22.38932169505009
3,40024.377476332214,0.0,34.427451208566424,22.389321695047634
6,40024.377476332214,0.0,34.427451208566424,22.389321695047634
11,40038.016221959304,0.0,34.427451208566424,22.72803357021536
9,40038.016221959646,0.0,34.427451208566424,22.72803357021536
10,40038.016221959864,0.0,34.427451208566424,22.72803357021536
14,40038.14296248769,0.0,34.427451208566424,22.38932169505009
17,40038.1429624877,0.0,34.427451208566424,22.38932169505007
12,40038.14296248804,0.0,34.427451208566424,22.389321695047634
15,40038.14296248804,0.0,34.427451208566424,22.389321695047634
16,40038.14296248825,0.0,34.427451208566424,22.389321695046153
13,40038.14296248826,0.0,34.427451208566424,22.38932169504615
18,40065.63525451542,0.0,34.427451208566424,22.72803357021536
20,40065.77828274024,0.0,34.427451208566424,22.828033570214757
19,40065.77828274081,0.0,34.427451208566424,22.828033570214757
23,40065.816907232766,0.0,34.427451208566424,22.828033570214757
26,40065.816907232766,0.0,34.427451208566424,22.828033570214757
21,40065.81690723311,0.0,34.427451208566424,22.828033570214757
24,40065.81690723311,0.0,34.427451208566424,22.828033570214757
22,40065.81690723332,0.0,34.427451208566424,22.828033570214757
25,40065.81690723332,0.0,34.427451208566424,22.828033570214757
29,40129.36360117973,0.0,34.427451208566424,45.654899104519124
32,40129.36360117996,0.0,34.427451208566424,45.654899104517426
35,40129.36360117996,0.0,34.427451208566424,45.654899104517426
27,40129.36360118007,0.0,34.427451208566424,45.65489910451667
28,40129.36360118028,0.0,34.427451208566424,45.654899104515195
30,40129.3636011803,0.0,34.427451208566424,45.654899104514975
33,40129.3636011803,0.0,34.427451208566424,45.654899104514975
31,40129.36360118052,0.0,34.427451208566424,45.6548991045135
34,40129.36360118052,0.0,34.427451208566424,45.6548991045135
38,40152.96399258496,0.0,34.427451208566424,22.828033570214757
41,40152.96399258519,0.0,34.427451208566424,22.828033570214757
44,40152.963992585195,0.0,34.427451208566424,22.828033570214757
36,40152.96399258531,0.0,34.427451208566424,22.828033570214757
37,40152.96399258552,0.0,34.427451208566424,22.828033570214757
39,40152.96399258554,0.0,34.427451208566424,22.828033570214757
42,40152.96399258554,0.0,34.427451208566424,22.828033570214757
40,40152.96399258575,0.0,34.427451208566424,22.828033570214757
43,40152.96399258576,0.0,34.427451208566424,22.828033570214757
1127,40463.81604500446,0.0,41.075585154668886,25.717332233290662
1125,40463.816045004845,0.0,41.075585154668886,25.717332233290662
1126,40463.81604500501,0.0,41.075585154668886,19.286859186865435
1130,40464.00061388167,0.0,41.075585154668886,22.158714655266078
1133,40464.00061388167,0.0,41.075585154668886,22.158714655266078
1128,40464.00061388196,0.0,41.075585154668886,22.158714655266778
1131,40464.00061388196,0.0,41.075585154668886,22.15871465526678
