run,Final Value,Q1_0,Q2_0,Q3_0,Time,loan-used percent
1,35356.094505097266,42.3381409129332,81.33330517244002,42.52885940079034,0.08398175239562988,0.0
2,35978.747017489004,37.9764328111886,87.48602001325679,43.72852003670414,0.09428834915161133,0.0
3,34560.73565795945,39.88707984257596,87.88425892764067,41.75940464736345,0.09129953384399414,0.0
4,33954.53608658542,33.946388384477224,97.31497067059507,42.903051194876895,0.10075902938842773,0.0
5,35014.86834310916,43.18427844538864,81.54918053541377,41.63838920111084,0.09275507926940918,0.0
6,36048.348214631784,36.77831610270779,91.49365377269868,42.97653321021335,0.10372114181518555,0.0
7,36367.30419268148,28.026140001143908,102.11671947249279,46.18780024510238,0.08879375457763672,0.0
8,35644.319021530886,34.66049324790168,92.43897186585642,44.51201943122544,0.08975863456726074,0.0
9,34730.89249628082,39.22664860279033,87.05470847394982,42.76293068288579,0.09277868270874023,0.0
10,33777.66584813269,41.42069533622609,87.94509457649409,40.29964021715841,0.09777545928955078,0.0
11,35384.46125588306,33.06548317837217,98.04039660203254,43.38669728590412,0.09175562858581543,0.0
12,35006.133606433286,35.17016667555376,95.33805510491555,42.68341872052258,0.09325671195983887,0.0
13,35638.70329978576,38.95412706367017,86.36735126774664,43.33805081562605,0.09477615356445312,0.0
14,34632.11876426178,41.628485736397266,83.31703482553866,42.26546372744451,0.09773850440979004,0.0
15,36444.560393548236,39.16347357078044,86.12806225831054,43.25432894672667,0.08876180648803711,0.0
16,36420.21750007071,40.016038926389506,83.82550779582738,43.533126697317016,0.09082245826721191,0.0
17,34838.14867596596,39.71265888712488,86.0988116774337,42.75540625588105,0.1033182144165039,0.0
18,35485.06504992682,41.688552154161556,85.1116600926232,41.37190994622506,0.09488749504089355,0.0
19,35403.93717656344,38.98264394646594,86.33475059008896,43.3266487079236,0.1206963062286377,0.0
20,35747.42266610237,39.81876673630177,85.37960248035932,42.99200322195067,0.09477663040161133,0.0
