value,S1,S2,time(s)
42750.38572513318,0,5624,67.66004800796509
42750.38572513318,1,5624,66.27529287338257
42750.38572513318,2,5624,66.31066679954529
42750.38572513318,3,5624,62.95526909828186
42750.38572513318,4,5624,65.28078842163086
42750.38572513318,5,5624,65.85423135757446
42750.38572513318,6,5624,63.55117058753967
42750.38572513318,7,5624,64.83666491508484
42750.38572513318,8,5624,69.76350402832031
42750.38572513318,9,5624,65.94970297813416
42750.38572513318,10,5624,69.23486852645874
42750.38572513318,11,5624,68.49500703811646
42750.38572513318,12,5624,68.63123178482056
42750.38572513318,13,5624,68.12813115119934
42750.38572513318,14,5624,64.4636664390564
42750.38572513318,15,5624,63.55117917060852
42750.38572513318,16,5624,64.04887866973877
42750.38572513318,17,5624,70.04326462745667
42750.38572513318,18,5624,63.90758490562439
42750.38572513318,19,5624,64.31948757171631
42750.38572513318,20,5624,63.29291272163391
42750.38572513318,21,5624,63.921915769577026
42750.38572513318,22,5624,63.65704703330994
42750.38572513318,23,5624,62.18303656578064
42750.38572513318,24,5624,64.01453876495361
42750.38572513318,25,5624,62.3352530002594
42750.38572513318,26,5624,62.59740400314331
42750.38572513318,27,5624,62.70161771774292
42750.38572513318,28,5624,63.51533579826355
42750.38572513318,29,5624,63.02331781387329
42750.38572513318,30,5624,64.44635820388794
42750.38572513318,31,5624,62.65730428695679
42750.38572513318,32,5624,63.24725317955017
42750.38572513318,33,5624,64.82553768157959
42750.38572513318,34,5624,64.58615469932556
42750.38572513318,35,5624,62.84521198272705
42420.23928893789,36,5624,64.53093194961548
42420.23928893789,37,5624,65.68487358093262
42420.23928893789,38,5624,63.1240394115448
42420.23928893789,39,5624,64.18414831161499
42420.23928893789,40,5624,63.36671996116638
42420.23928893789,41,5624,63.9153265953064
42420.23928893789,42,5624,63.24008846282959
42420.23928893789,43,5624,63.16212177276611
42420.23928893789,44,5624,63.724180936813354
42750.38572513318,45,5624,62.547926902770996
42750.38572513318,46,5624,64.09328031539917
42750.38572513318,47,5624,63.95836782455444
42750.38572513318,48,5624,61.991989612579346
42750.38572513318,49,5624,62.422258377075195
42750.38572513318,50,5624,63.233389139175415
42750.38572513318,51,5624,62.94714379310608
42750.38572513318,52,5624,63.243380069732666
42750.38572513318,53,5624,62.08215117454529
42750.38572513318,54,5624,61.72682523727417
42750.38572513318,55,5624,62.94962763786316
42750.38572513318,56,5624,62.83680510520935
42750.38572513318,57,5624,62.63074851036072
42750.38572513318,58,5624,61.74475336074829
42750.38572513318,59,5624,61.507224798202515
42750.38572513318,60,5624,62.75446629524231
42750.38572513318,61,5624,61.4582245349884
42750.38572513318,62,5624,64.46917700767517
42750.38572513318,63,5624,62.75163912773132
42750.38572513318,64,5624,62.14645576477051
42750.38572513318,65,5624,62.810582637786865
42750.38572513318,66,5624,64.61677408218384
42750.38572513318,67,5624,63.17476296424866
42750.38572513318,68,5624,63.93687891960144
42750.38572513318,69,5624,63.94398212432861
42750.38572513318,70,5624,63.24662947654724
42750.38572513318,71,5624,72.57591152191162
42750.38572513318,72,5624,70.6249520778656
42750.38572513318,73,5624,70.22187781333923
42750.38572513318,74,5624,70.0261561870575
42750.38572513318,75,5624,64.76456999778748
42750.38572513318,76,5624,62.98160529136658
42750.38572513318,77,5624,65.55064916610718
42750.38572513318,78,5624,64.47902035713196
42750.38572513318,79,5624,62.862677574157715
42750.38572513318,80,5624,63.63237190246582
42750.38572513318,81,5624,62.84413003921509
42750.38572513318,82,5624,63.437578439712524
42750.38572513318,83,5624,63.07893490791321
42750.38572513318,84,5624,62.848838090896606
42750.38572513318,85,5624,62.23912978172302
42750.38572513318,86,5624,64.8486967086792
42750.38572513318,87,5624,64.14211797714233
42750.38572513318,88,5624,63.15703368186951
42750.38572513318,89,5624,63.49360918998718
42750.38572513318,90,5624,63.86250281333923
42750.38572513318,91,5624,64.67992568016052
42750.38572513318,92,5624,64.47898054122925
42750.38572513318,93,5624,63.21433448791504
42750.38572513318,94,5624,64.7245090007782
42750.38572513318,95,5624,64.60603952407837
42750.38572513318,96,5624,64.67037916183472
42750.38572513318,97,5624,63.86386156082153
42750.38572513318,98,5624,62.50627398490906
42750.38572513318,99,5624,63.960848569869995
42750.38572513318,100,5624,69.56567597389221
42750.38572513318,101,5624,68.16626143455505
42750.38572513318,102,5624,63.797980546951294
42750.38572513318,103,5624,64.23976731300354
42750.38572513318,104,5624,63.23186635971069
42750.38572513318,105,5624,64.42265629768372
42750.38572513318,106,5624,65.81450152397156
42750.38572513318,107,5624,64.64290142059326
42750.38572513318,108,5624,64.54272389411926
42750.38572513318,109,5624,66.33321452140808
42750.38572513318,110,5624,67.00778937339783
42750.38572513318,111,5624,65.23175263404846
42750.38572513318,112,5624,64.570960521698
42750.38572513318,113,5624,66.5263078212738
42750.38572513318,114,5624,63.997313261032104
