demand-mode rolling-obj1 rolling-service2 rolling-obj2 rolling-service2 rolling-obj3 rolling-service3
0.0 99.3 64.0 100.0 90.0 100.0 98.0
1.0 99.8 64.6 99.0 85.0 97.0 83.0
2.0 39.0 25.8 50.0 31.0 41.0 25.0
3.0 89.3 56.6 94.0 68.0 94.0 77.0
4.0 99.5 60.8 100.0 80.0 100.0 92.0
5.0 92.2 65.8 99.0 74.0 95.0 83.0
6.0 58.9 35.9 57.0 41.0 58.0 44.0
7.0 96.5 62.0 97.0 69.0 96.0 76.0
8.0 98.0 64.6 97.0 66.0 98.0 83.0
9.0 97.9 68.5 94.0 66.0 93.0 80.0
