demand-mode rolling-obj1 rolling-service2 rolling-obj2 rolling-service2 rolling-obj3 rolling-service3
0.0 99.8 60.3 98.8 56.2 100.0 96.0
1.0 99.7 53.1 99.6 76.8 99.0 85.0
2.0 43.3 26.3 41.1 29.6 41.0 28.0
3.0 90.6 54.9 89.7 66.8 92.0 72.0
4.0 99.4 59.1 99.4 65.3 100.0 91.0
5.0 93.6 62.4 94.8 71.2 94.0 79.0
6.0 60.7 33.8 59.1 37.1 57.0 39.0
7.0 96.1 57.4 95.3 58.8 94.0 69.0
8.0 98.3 57.3 96.4 57.5 91.0 71.0
9.0 99.0 64.2 93.8 65.5 89.0 75.0
