demand-mode rolling-obj1 rolling-service2 rolling-obj2 rolling-service2 rolling-obj3 rolling-service3
0.0 99.0 53.0 97.5 51.5 97.0 88.5
1.0 100.0 46.5 97.0 60.0 99.0 83.5
2.0 45.0 24.0 50.5 29.0 45.5 26.0
3.0 87.0 44.5 81.5 50.5 84.0 59.5
4.0 100.0 56.0 100.0 55.5 99.5 78.5
5.0 93.0 61.5 88.0 57.0 90.5 65.5
6.0 60.5 34.5 67.5 34.0 59.0 43.0
7.0 97.5 58.0 94.5 54.5 86.5 66.5
8.0 96.5 55.0 92.5 56.0 90.5 72.0
9.0 100.0 54.5 89.5 60.5 91.0 66.0
